date,reporting_year,reporting_month,reporting_week,reporting_day
2023-06-23,2023,6,21,145
2023-06-24,2023,6,21,146
2023-06-25,2023,6,21,147
2023-06-26,2023,6,22,148
2023-06-27,2023,6,22,149
2023-06-28,2023,6,22,150
2023-06-29,2023,6,22,151
2023-06-30,2023,6,22,152
2023-07-01,2023,6,22,153
2023-07-02,2023,6,22,154
2023-07-03,2023,6,23,155
2023-07-04,2023,6,23,156
2023-07-05,2023,6,23,157
2023-07-06,2023,6,23,158
2023-07-07,2023,6,23,159
2023-07-08,2023,6,23,160
2023-07-09,2023,6,23,161
2023-07-10,2023,6,24,162
2023-07-11,2023,6,24,163
2023-07-12,2023,6,24,164
2023-07-13,2023,6,24,165
2023-07-14,2023,6,24,166
2023-07-15,2023,6,24,167
2023-07-16,2023,6,24,168
2023-07-17,2023,7,25,169
2023-07-18,2023,7,25,170
2023-07-19,2023,7,25,171
2023-07-20,2023,7,25,172
2023-07-21,2023,7,25,173
2023-07-22,2023,7,25,174
2023-07-23,2023,7,25,175
2023-07-24,2023,7,26,176
2023-07-25,2023,7,26,177
2023-07-26,2023,7,26,178
2023-07-27,2023,7,26,179
2023-07-28,2023,7,26,180
2023-07-29,2023,7,26,181
2023-07-30,2023,7,26,182
2023-07-31,2023,7,27,183
2023-08-01,2023,7,27,184
2023-08-02,2023,7,27,185
2023-08-03,2023,7,27,186
2023-08-04,2023,7,27,187
2023-08-05,2023,7,27,188
2023-08-06,2023,7,27,189
2023-08-07,2023,7,28,190
2023-08-08,2023,7,28,191
2023-08-09,2023,7,28,192
2023-08-10,2023,7,28,193
2023-08-11,2023,7,28,194
2023-08-12,2023,7,28,195
2023-08-13,2023,7,28,196
2023-08-14,2023,8,29,197
2023-08-15,2023,8,29,198
2023-08-16,2023,8,29,199
2023-08-17,2023,8,29,200
2023-08-18,2023,8,29,201
2023-08-19,2023,8,29,202
2023-08-20,2023,8,29,203
2023-08-21,2023,8,30,204
2023-08-22,2023,8,30,205
2023-08-23,2023,8,30,206
2023-08-24,2023,8,30,207
2023-08-25,2023,8,30,208
2023-08-26,2023,8,30,209
2023-08-27,2023,8,30,210
2023-08-28,2023,8,31,211
2023-08-29,2023,8,31,212
2023-08-30,2023,8,31,213
2023-08-31,2023,8,31,214
2023-09-01,2023,8,31,215
2023-09-02,2023,8,31,216
2023-09-03,2023,8,31,217
2023-09-04,2023,8,32,218
2023-09-05,2023,8,32,219
2023-09-06,2023,8,32,220
2023-09-07,2023,8,32,221
2023-09-08,2023,8,32,222
2023-09-09,2023,8,32,223
2023-09-10,2023,8,32,224
2023-09-11,2023,9,33,225
2023-09-12,2023,9,33,226
2023-09-13,2023,9,33,227
2023-09-14,2023,9,33,228
2023-09-15,2023,9,33,229
2023-09-16,2023,9,33,230
2023-09-17,2023,9,33,231
2023-09-18,2023,9,34,232
2023-09-19,2023,9,34,233
2023-09-20,2023,9,34,234
2023-09-21,2023,9,34,235
2023-09-22,2023,9,34,236
2023-09-23,2023,9,34,237
2023-09-24,2023,9,34,238
2023-09-25,2023,9,35,239
2023-09-26,2023,9,35,240
2023-09-27,2023,9,35,241
2023-09-28,2023,9,35,242
2023-09-29,2023,9,35,243
2023-09-30,2023,9,35,244
2023-10-01,2023,9,35,245
2023-10-02,2023,9,36,246
2023-10-03,2023,9,36,247
2023-10-04,2023,9,36,248
2023-10-05,2023,9,36,249
2023-10-06,2023,9,36,250
2023-10-07,2023,9,36,251
2023-10-08,2023,9,36,252
2023-10-09,2023,10,37,253
2023-10-10,2023,10,37,254
2023-10-11,2023,10,37,255
2023-10-12,2023,10,37,256
2023-10-13,2023,10,37,257
2023-10-14,2023,10,37,258
2023-10-15,2023,10,37,259
2023-10-16,2023,10,38,260
2023-10-17,2023,10,38,261
2023-10-18,2023,10,38,262
2023-10-19,2023,10,38,263
2023-10-20,2023,10,38,264
2023-10-21,2023,10,38,265
2023-10-22,2023,10,38,266
2023-10-23,2023,10,39,267
2023-10-24,2023,10,39,268
2023-10-25,2023,10,39,269
2023-10-26,2023,10,39,270
2023-10-27,2023,10,39,271
2023-10-28,2023,10,39,272
2023-10-29,2023,10,39,273
2023-10-30,2023,10,40,274
2023-10-31,2023,10,40,275
2023-11-01,2023,10,40,276
2023-11-02,2023,10,40,277
2023-11-03,2023,10,40,278
2023-11-04,2023,10,40,279
2023-11-05,2023,10,40,280
2023-11-06,2023,11,41,281
2023-11-07,2023,11,41,282
2023-11-08,2023,11,41,283
2023-11-09,2023,11,41,284
2023-11-10,2023,11,41,285
2023-11-11,2023,11,41,286
2023-11-12,2023,11,41,287
2023-11-13,2023,11,42,288
2023-11-14,2023,11,42,289
2023-11-15,2023,11,42,290
2023-11-16,2023,11,42,291
2023-11-17,2023,11,42,292
2023-11-18,2023,11,42,293
2023-11-19,2023,11,42,294
2023-11-20,2023,11,43,295
2023-11-21,2023,11,43,296
2023-11-22,2023,11,43,297
2023-11-23,2023,11,43,298
2023-11-24,2023,11,43,299
2023-11-25,2023,11,43,300
2023-11-26,2023,11,43,301
2023-11-27,2023,11,44,302
2023-11-28,2023,11,44,303
2023-11-29,2023,11,44,304
2023-11-30,2023,11,44,305
2023-12-01,2023,11,44,306
2023-12-02,2023,11,44,307
2023-12-03,2023,11,44,308
2023-12-04,2023,12,45,309
2023-12-05,2023,12,45,310
2023-12-06,2023,12,45,311
2023-12-07,2023,12,45,312
2023-12-08,2023,12,45,313
2023-12-09,2023,12,45,314
2023-12-10,2023,12,45,315
2023-12-11,2023,12,46,316
2023-12-12,2023,12,46,317
2023-12-13,2023,12,46,318
2023-12-14,2023,12,46,319
2023-12-15,2023,12,46,320
2023-12-16,2023,12,46,321
2023-12-17,2023,12,46,322
2023-12-18,2023,12,47,323
2023-12-19,2023,12,47,324
2023-12-20,2023,12,47,325
2023-12-21,2023,12,47,326
2023-12-22,2023,12,47,327
2023-12-23,2023,12,47,328
2023-12-24,2023,12,47,329
2023-12-25,2023,12,48,330
2023-12-26,2023,12,48,331
2023-12-27,2023,12,48,332
2023-12-28,2023,12,48,333
2023-12-29,2023,12,48,334
2023-12-30,2023,12,48,335
2023-12-31,2023,12,48,336
